recorded_at,scenario,iteration,create_ms,first_command_ms,ready_ms,sandbox_id
2026-04-23T21:13:00.258Z,"source: snapshot",1,317.2,167.2,484.4,sbx_QMcOcwa6ISY6H7NZobE1kwslPQmt
2026-04-23T21:13:02.971Z,"source: snapshot",2,357.2,1767.2,2124.5,sbx_cLyLESclNOG2GpwkbZ4j6Yq5NIR6
2026-04-23T21:13:05.287Z,"source: snapshot",3,194.8,1696.8,1891.6,sbx_LMKeXTWYo0U0zw819q7WyfvSyQWr
2026-04-23T21:13:07.640Z,"source: snapshot",4,175.8,1744.7,1920.6,sbx_tDk5hZkbGun57wVALbKvELUF4mTk
2026-04-23T21:13:09.843Z,"source: snapshot",5,236.0,1552.5,1788.5,sbx_xnRtiOxSblSKbMeQxhlrt1n4GVTZ
2026-04-23T21:13:12.462Z,"source: snapshot",6,299.1,1889.8,2189.0,sbx_8Dux0XFdeiNaVi2IyFjyVZ3wIKsA
2026-04-23T21:13:14.567Z,"source: snapshot",7,224.3,1471.6,1695.9,sbx_EeJHdi5n9ZhC7ZqDv9LgW5XdYdAX
2026-04-23T21:13:16.819Z,"source: snapshot",8,188.2,1624.5,1812.6,sbx_7uioXCjWdg2SjFVuA4ee1AGMrw8F
2026-04-23T21:13:17.609Z,"source: snapshot",9,199.9,186.7,386.6,sbx_WjSluGLgmc6ufUV98nODOb4r3n2a
2026-04-23T21:13:20.035Z,"source: snapshot",10,175.8,1829.7,2005.5,sbx_sIouRPAmSy2eQjG4thBZhEiV5xFI
