level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1396	1256	-1	
2	1	1	0	0	0	1	1058	8	18	-1	
3	1	1	1	0	0	1	1058	8	18	-1	
4	1	1	1	1	0	1	1058	8	18	-1	
5	1	1	1	1	1	1	1058	8	18	69.633499	|
2	1	2	0	0	0	6	373	10	49	-1	
3	1	2	1	0	0	6	373	10	49	-1	
4	1	2	1	1	0	6	373	10	49	-1	
5	1	2	1	1	1	6	373	10	49	46.294991	7
2	1	3	0	0	0	50	512	12	35	-1	
3	1	3	1	0	0	50	512	12	35	-1	
4	1	3	1	1	0	50	512	12	35	-1	
5	1	3	1	1	1	50	512	12	35	60.015083	==
2	1	4	0	0	0	74	1190	4	25	-1	
3	1	4	1	0	0	74	1190	4	25	-1	
4	1	4	1	1	0	74	1190	4	25	-1	
5	1	4	1	1	1	74	1190	4	25	53.363438	ge
2	1	5	0	0	0	67	932	4	25	-1	
3	1	5	1	0	0	67	932	4	25	-1	
4	1	5	1	1	0	67	932	4	25	-1	
5	1	5	1	1	1	67	932	4	25	28.633911	|_|
2	1	6	0	0	0	69	565	20	18	-1	
3	1	6	1	0	0	69	565	20	18	-1	
4	1	6	1	1	0	69	565	20	18	-1	
5	1	6	1	1	1	69	565	20	18	29.471062	ee
2	1	7	0	0	0	88	66	12	16	-1	
3	1	7	1	0	0	88	66	12	16	-1	
4	1	7	1	1	0	88	66	12	16	-1	
5	1	7	1	1	1	88	80	12	2	60.520332	L
2	1	8	0	0	0	101	1057	48	19	-1	
3	1	8	1	0	0	101	1057	48	19	-1	
4	1	8	1	1	0	101	1057	48	19	-1	
5	1	8	1	1	1	101	1057	48	19	55.652855	=
2	1	9	0	0	0	156	826	30	15	-1	
3	1	9	1	0	0	156	826	30	15	-1	
4	1	9	1	1	0	156	826	30	15	-1	
5	1	9	1	1	1	156	826	30	15	60.807236	|
2	1	10	0	0	0	175	1034	24	6	-1	
3	1	10	1	0	0	175	1034	24	6	-1	
4	1	10	1	1	0	175	1034	24	6	-1	
5	1	10	1	1	1	175	1034	24	6	81.892410	SE
2	1	11	0	0	0	172	53	40	68	-1	
3	1	11	1	0	0	172	53	40	68	-1	
4	1	11	1	1	0	172	53	40	68	-1	
5	1	11	1	1	1	172	53	40	68	60.746494	IE
2	1	12	0	0	0	224	383	14	38	-1	
3	1	12	1	0	0	224	383	14	38	-1	
4	1	12	1	1	0	224	383	14	38	-1	
5	1	12	1	1	1	224	383	14	38	4.260551	Se
2	1	13	0	0	0	224	290	12	39	-1	
3	1	13	1	0	0	224	290	12	39	-1	
4	1	13	1	1	0	224	290	12	39	-1	
5	1	13	1	1	1	224	290	12	39	38.158260	mue
2	1	14	0	0	0	230	197	6	25	-1	
3	1	14	1	0	0	230	197	6	25	-1	
4	1	14	1	1	0	230	197	6	25	-1	
5	1	14	1	1	1	230	197	6	25	43.195515	LT
2	1	15	0	0	0	228	608	13	49	-1	
3	1	15	1	0	0	228	608	13	49	-1	
4	1	15	1	1	0	228	608	13	49	-1	
5	1	15	1	1	1	228	608	13	49	30.449951	[ET
2	1	16	0	0	0	235	442	7	25	-1	
3	1	16	1	0	0	235	442	7	25	-1	
4	1	16	1	1	0	235	442	7	25	-1	
5	1	16	1	1	1	235	442	7	25	62.213299	ims
2	1	17	0	0	0	229	832	31	21	-1	
3	1	17	1	0	0	229	832	31	21	-1	
4	1	17	1	1	0	229	832	31	21	-1	
5	1	17	1	1	1	229	832	31	21	67.105080	Y
2	1	18	0	0	0	291	46	31	49	-1	
3	1	18	1	0	0	291	46	31	49	-1	
4	1	18	1	1	0	291	46	31	49	-1	
5	1	18	1	1	1	291	46	31	49	52.496891	A
2	1	19	0	0	0	291	1057	62	19	-1	
3	1	19	1	0	0	291	1057	62	19	-1	
4	1	19	1	1	0	291	1057	62	19	-1	
5	1	19	1	1	1	291	1057	62	19	55.545120	OLGe
2	1	20	0	0	0	323	60	22	18	-1	
3	1	20	1	0	0	323	60	22	18	-1	
4	1	20	1	1	0	323	60	22	18	-1	
5	1	20	1	1	1	323	60	22	18	25.492180	ml
2	1	21	0	0	0	359	850	26	166	-1	
3	1	21	1	0	0	359	850	26	166	-1	
4	1	21	1	1	0	359	850	26	166	-1	
5	1	21	1	1	1	359	949	26	67	90.452255	DGT
5	1	21	1	1	2	359	929	26	10	93.015633	/
5	1	21	1	1	3	359	850	26	67	93.129486	RGT
2	1	22	0	0	0	382	425	14	51	-1	
3	1	22	1	0	0	382	425	14	51	-1	
4	1	22	1	1	0	382	425	14	51	-1	
5	1	22	1	1	1	382	425	14	51	43.588417	4
2	1	23	0	0	0	424	494	26	68	-1	
3	1	23	1	0	0	424	494	26	68	-1	
4	1	23	1	1	0	424	494	26	68	-1	
5	1	23	1	1	1	424	494	26	68	91.348305	RGT
2	1	24	0	0	0	458	450	29	114	-1	
3	1	24	1	0	0	458	450	29	114	-1	
4	1	24	1	1	0	458	450	29	114	-1	
5	1	24	1	1	1	461	500	26	64	95.614967	6.84
5	1	24	1	1	2	458	450	28	38	81.514587	m2
2	1	25	0	0	0	385	220	104	106	-1	
3	1	25	1	0	0	385	220	104	106	-1	
4	1	25	1	1	0	385	220	104	106	-1	
5	1	25	1	1	1	381	290	120	40	15.356453	09
2	1	26	0	0	0	462	317	40	21	-1	
3	1	26	1	0	0	462	317	40	21	-1	
4	1	26	1	1	0	462	317	40	21	-1	
5	1	26	1	1	1	462	317	40	21	86.139832	>
2	1	27	0	0	0	371	148	168	41	-1	
3	1	27	1	0	0	371	148	168	41	-1	
4	1	27	1	1	0	371	148	168	41	-1	
5	1	27	1	1	1	371	148	168	41	0.000000	:
2	1	28	0	0	0	552	376	15	68	-1	
3	1	28	1	0	0	552	376	15	68	-1	
4	1	28	1	1	0	552	376	15	68	-1	
5	1	28	1	1	1	547	431	29	17	14.907089	Es
5	1	28	1	1	2	552	376	15	68	29.444824	me
2	1	29	0	0	0	550	43	20	45	-1	
3	1	29	1	0	0	550	43	20	45	-1	
4	1	29	1	1	0	550	43	20	45	-1	
5	1	29	1	1	1	550	43	20	45	40.563618	sun
2	1	30	0	0	0	538	790	60	18	-1	
3	1	30	1	0	0	538	790	60	18	-1	
4	1	30	1	1	0	538	790	60	18	-1	
5	1	30	1	1	1	538	790	60	18	34.331123	4
2	1	31	0	0	0	579	244	46	19	-1	
3	1	31	1	0	0	579	244	46	19	-1	
4	1	31	1	1	0	579	244	46	19	-1	
5	1	31	1	1	1	579	244	46	19	59.268288	à
2	1	32	0	0	0	563	147	56	75	-1	
3	1	32	1	0	0	563	147	56	75	-1	
4	1	32	1	1	0	563	147	56	75	-1	
5	1	32	1	1	1	563	147	56	75	64.848190	oF
2	1	33	0	0	0	658	499	59	19	-1	
3	1	33	1	0	0	658	499	59	19	-1	
